iter	Passed	Remaining
0	1	107
1	2	105
2	3	100
3	3	94
4	4	93
5	5	91
6	6	89
7	7	89
8	8	88
9	9	87
10	10	86
11	11	85
12	12	84
13	13	82
14	14	81
15	15	81
16	16	80
17	17	79
18	18	78
19	19	78
20	20	77
21	21	76
22	22	75
23	23	74
24	24	74
25	25	73
26	26	72
27	27	71
28	28	70
29	29	69
30	30	68
31	31	67
32	32	66
33	33	65
34	34	64
35	35	63
36	36	62
37	37	61
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	54	47
53	55	46
54	55	45
55	57	44
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	37
64	66	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	75	29
72	76	28
73	77	27
74	78	26
75	79	25
76	80	24
77	81	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	88	16
84	89	15
85	90	14
86	91	13
87	92	12
88	93	11
89	94	10
90	95	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
